subject,trial,trialtype,touch down,toe off,footing,touch down,toe off,footing,touch down,toe off,footing,touch down,toe off,footing
101117th,3,bw1,1.8083,2.645,L,2.3483,3.225,R,2.9717,3.76,L,3.5933,4.35,R
101117th,4,bw2,1.9833,2.8267,L,2.5983,3.4133,R,3.21,4.095,L,3.92,4.725,R
101117th,5,bw3,1.77,2.635,L,2.38,3.2283,R,3.0283,3.85,L,3.66,4.5417,R
101117th,30,w1,2.7583,3.5133,L,3.2717,4.075,R,3.895,4.6667,L,4.47,5.2867,R
101117th,31,w2,2.8417,3.5683,L,3.3933,4.225,R,4.0033,4.785,L,4.58,5.4317,R
101117th,32,w3,2.8033,3.6083,L,3.3683,4.275,R,4.0233,4.8667,L,4.655,5.4317,R
101117th,33,trLErs1,2.8033,3.535,L,3.3283,4.3483,R,4.2733,4.8201,L,4.6683,5.2,R
101117th,37,trLErs2,2.9083,3.67,L,3.4667,4.5667,R,4.4467,5.155,L,5,5.7267,R
101117th,42,trLLrs3,2.7883,3.5583,L,3.33,4.3667,R,4.2833,4.9101,L,4.7867,5.5167,R
101117th,50,trLLspnlob2,2.5383,3.3118,L,3.0984,3.8853,R,3.8053,4.232,L,4.0586,4.7388,R
101117th,51,trLLspnlob3,3.11,3.8133,L,3.6383,4.31,R,4.215,4.7267,L,4.5933,5.3233,R
101117th,61,trLLspnlob,2.7133,3.41,L,3.205,4.1217,R,4.025,4.535,L,4.3767,5.0333,R
101117th,62,trLLspnlob?,2.955,3.6883,L,3.5183,4.3233,R,4.02,4.755,L,4.61,5.5,R
101117th,64,trLLspnlob5,2.61,3.2883,L,3.1083,3.7683,R,3.7167,4.1301,L,4.025,4.7,R
101117th,67,pw1,2.825,3.54,L,3.3818,4.2086,R,4.015,4.8317,L,4.5986,5.4521,R
101117th,68,pw2,2.7617,3.4683,L,3.2817,4.1383,R,3.9067,4.6633,L,4.505,5.375,R
101117th,69,pw3,2.8767,3.6267,L,3.4,4.1917,R,4.0117,4.7967,L,4.615,5.4917,R
101117th,70,trLLspnlob6,2.74,3.4617,L,3.2667,3.9617,R,3.8867,4.3867,L,4.2467,4.9417,R
101117th,71,trLLspnlob?,2.7967,3.5317,L,3.3567,4.1467,R,3.825,4.5609,L,4.38,5.0677,R
101117th,72,trLLspnlob7,2.7467,3.47,L,3.2683,3.9717,R,3.9,4.3983,L,4.2633,4.9417,R
101117th,73,trLLspnlob8?,2.8983,3.625,L,3.435,4.2767,R,3.9517,4.6917,L,4.535,5.225,R
101117th,75,trLEcs1,2.7967,3.5183,L,3.365,4.1217,R,3.97,4.645,L,4.4817,5.2117,R
101117th,77,trLLspnlob9?,2.715,3.3783,L,3.2567,3.92,R,3.8583,4.2383,L,4.1167,4.8167,R
101117th,78,trLLspnlob10?,2.7267,3.435,L,3.2667,3.9683,R,3.8946,4.3214,L,4.1883,4.8917,R
101117th,79,trLLspnlob11?,2.8383,3.5067,L,3.3683,4.0383,R,3.955,4.4218,L,4.2633,4.9917,R
101117th,80,pw4,2.9067,3.61,L,3.44,4.2417,R,4.0867,4.81,L,4.6367,5.5417,R
101117th,81,pw5,2.755,3.4617,L,3.28,4.12,R,3.9567,4.7533,L,4.5683,5.475,R
101117th,82,pw6,2.68,3.4133,L,3.2217,4.0117,R,3.8683,4.6333,L,4.45,5.4083,R
101117th,84,trLLspnlob12?,2.7933,3.55,L,3.3633,4.1617,R,3.855,4.5742,L,4.39,5.0677,R
101117th,85,trLLspnlob13?,3.0033,3.735,L,3.5517,4.2417,R,4.1583,4.63,L,4.5083,5.275,R
101117th,87,trLLspnlob14?,2.9,3.6417,L,3.455,4.185,R,4.0717,4.5717,L,4.4583,5.1667,R
101117th,90,trLLrs3?,3.92,4.6217,L,4.4417,5.0883,R,4.8217,5.5083,L,5.39,6.0583,R
101117th,92,trLLspnlob15?,2.8283,3.595,L,3.3867,4.145,R,4.075,4.4183,L,4.4017,5.0917,R
101117th,95,trLLspnlob,2.78,3.5483,L,3.3367,4.175,R,3.8917,4.6943,L,4.4883,5.1877,R
101117th,101,trLLspnlob17?,2.6933,3.3667,L,3.205,3.89,R,3.8683,4.3667,L,4.1733,4.8583,R
101117th,105,trLLspnlob24,2.8917,3.6017,L,3.4567,4.1817,R,4.12,4.55,L,4.41,5.1417,R
101117th,112,rw1,2.6783,3.4283,L,3.21,3.9583,R,3.7733,4.4717,L,4.3217,5.075,R
101117th,113,rw2,3.03,3.835,L,3.63,4.5567,R,4.3767,5.1917,L,5,5.93,R
101117th,114,rw3,2.695,3.4383,L,3.215,4.0783,R,3.9183,4.765,L,4.5233,5.4167,R
101117th,115,re_trLLspnlob,2.7164,3.5183,L,3.2983,4.0421,R,3.97,4.4902,L,4.3302,4.9836,R
101117th,120,re_slRrs,2.8317,3.5867,L,3.3368,4.823,R,3.7161,4.1162,L,4.6363,5.5031,L
