subject,trial,trialtype,touch down,toe off,footing,touch down,toe off,footing,touch down,toe off,footing,touch down,toe off,footing
101617lw,3,bw1,3.0433,3.6767,L,3.5267,4.19,R,4.0333,4.77,L,4.6233,5.3317,R
101617lw,4,bw2,2.9683,3.5767,L,3.4367,4.1217,R,3.9617,4.6617,L,4.5083,5.22,R
101617lw,5,bw3,2.27,2.9983,L,2.8433,3.5117,R,3.3517,4.0167,L,3.885,4.6167,R
101617lw,6,w1,1.8467,2.4967,L,2.3483,2.9517,R,2.8083,3.5133,L,3.375,4.0583,R
101617lw,8,w2,1.7967,2.4467,L,2.3033,2.9117,R,2.775,3.4033,L,3.2867,4.0167,R
101617lw,9,w3,1.9483,2.595,L,2.4583,3.1167,R,2.9683,3.6683,L,3.53,4.2167,R
101617lw,12,w4,1.84,2.45,L,2.29,2.96,R,2.84,3.52,L,3.35,3.98,R
101617lw,29,Nat,1.7417,2.3917,L,2.25,2.93,R,2.7833,3.4583,L,3.305,3.97,R
101617lw,30,Nat,2.0983,2.785,L,2.6336,3.3408,R,3.195,3.8283,L,3.7161,4.2955,R
101617lw,31,Nat,1.8583,2.4967,L,2.34,3.0483,R,2.9183,3.6067,L,3.4533,4.1367,R
101617lw,32,trLLfl1,1.8267,2.6167,L,2.4583,3.1083,R,2.95,3.38,L,3.325,3.7583,R
101617lw,34,trLLrs1?,1.8217,2.44,L,2.2917,3.0083,R,2.8333,3.205,L,3.175,3.4985,R
101617lw,35,trLLrs2?,1.8367,2.435,L,2.2917,2.935,R,2.8,3.325,L,3.2917,3.9167,R
101617lw,36,trLEcs1improperstepping,2.0436,2.6704,L,2.5503,3.2305,R,3.0971,3.7639,L,3.6039,4.2307,R
101617lw,37,trLEcs2?,1.685,2.3383,L,2.2083,3.015,R,2.885,3.5567,L,3.44,4.0567,R
101617lw,38,trLEcs3,2.0817,2.7485,L,2.6418,3.3219,R,3.1752,3.922,L,3.762,4.4526,R
101617lw,39,trLEcs4EARLYTRIGGER,2.2074,2.9276,L,2.7942,3.4957,R,3.341,4.0158,L,3.8424,4.4826,R
101617lw,42,trLEcs5,2.19,2.8133,L,2.6733,3.4201,R,3.2883,3.98,L,3.7936,4.5137,R
101617lw,43,pw1,2.2533,2.8367,L,2.6967,3.555,R,3.4217,4.1183,L,3.9783,4.615,R
101617lw,44,pw2,2.0949,2.735,L,2.5883,3.33,R,3.1618,3.8419,L,3.6867,4.3167,R
101617lw,45,pw3,2.225,2.9067,L,2.78,3.4633,R,3.3183,3.9667,L,3.835,4.4733,R
101617lw,52,trLEcs6,2.3933,3.0967,L,2.9117,3.7652,R,3.6667,4.36,L,4.1652,4.8507,R
101617lw,53,trLEcs7INPROPERSTEP,2.3033,3.0117,L,2.8283,3.7085,R,3.6283,4.4417,L,4.2187,4.9255,R
101617lw,54,trLEcs8INPROPERSTEP,2.4633,3.1517,L,2.995,3.9333,R,3.825,4.6,L,4.4167,5.1635,R
101617lw,55,trLEcs9INPROPERSTEP,1.8333,2.5967,L,2.4383,3.5987,R,3.4783,4.2567,L,4.0655,4.8256,R
101617lw,57,trLEcs10EARLYTRIGGER,2.2467,2.9935,L,2.8068,3.6069,R,3.4736,4.1671,L,3.9803,4.7005,R
101617lw,58,trLEcs11EARLYTRIGGER,2.4183,3.1358,L,2.9784,3.8026,R,3.6692,4.4294,L,4.2294,4.9495,R
101617lw,60,trLEcs12,2.37,3.0901,L,2.9383,3.8233,R,3.6636,4.4904,L,4.3117,5.0367,R
101617lw,61,trLEcs13IMPROPERSTEPPING,2.3617,3.1485,L,2.9883,3.9283,R,3.7619,4.5354,L,4.385,5.125,R
101617lw,62,pw4,1.7733,2.52,L,2.3533,3.2717,R,3.12,3.8233,L,3.675,4.5,R
101617lw,63,pw5,2.885,3.6585,L,3.5251,4.2853,R,4.1119,4.8854,L,4.6587,5.4589,R
101617lw,64,pw6,2.4516,3.1451,L,3.0384,3.7452,R,3.5985,4.3587,L,4.1453,4.9055,R
101617lw,66,trLEcs14,2.3,3.0841,L,2.8841,3.7376,R,3.5776,4.3644,L,4.1644,4.8978,R
101617lw,67,trLEcs15,2.3517,3.1252,L,2.9518,3.8217,R,3.6319,4.4321,L,4.255,4.955,R
101617lw,69,trLEcs16,2.4417,3.29,L,3.1167,3.9568,R,3.8101,4.637,L,4.3969,5.1171,R
101617lw,72,trLEcs17,2.4801,3.2136,L,3.0536,3.9204,R,3.747,4.5472,L,4.3605,5.1206,R
101617lw,74,trLEcs18,2.3567,3.1435,L,2.98,3.8333,R,3.7009,4.4344,L,4.25,5.0017,R
101617lw,75,trLEcs19,2.3567,3.1035,L,3.0101,3.861,R,3.7276,4.4985,L,4.3118,5.0319,R
101617lw,77,trLEcs20,2.415,3.1085,L,2.9367,3.7683,R,3.6152,4.3487,L,4.1883,4.8983,R
101617lw,79,trLEcs24,2.5583,3.4118,L,3.2483,4.13,R,3.9586,4.7321,L,4.5383,5.2817,R
101617lw,88,rw1,2.7017,3.5818,L,3.3951,4.2486,R,4.0619,4.8354,L,4.6087,5.3822,R
101617lw,89,rw2,2.2417,2.9218,L,2.755,3.5717,R,3.4286,4.2021,L,4.015,4.75,R
101617lw,90,rw3,2.5783,3.2985,L,3.1251,3.8633,R,3.7252,4.432,L,4.26,4.9667,R
101617lw,97,re_trLEcs,2.3417,3.035,L,2.8633,3.67,R,3.52,4.23,L,4.0717,4.78,R
101617lw,113,re_slRrs,2.5738,3.4783,L,3.334,3.9608,R,4.3475,4.7076,L,4.1875,4.841,R
